CLG,DEPT.,NAME,RNK,9MSALARY
EAST,COMPUTING,Alfa,Prof,60000
EAST,COMPUTING,Bravo,Asso,70000
EAST,COMPUTING,Charlie,Asst,80000
EAST,COMPUTING,Delta,Instr,90000
EAST,COMPUTING,Echo,Instr,100000
EAST,ENGINEERING,Foxtrot,Asst,100000
EAST,ENGINEERING,Golf,Asso,80000
EAST,ENGINEERING,Hotel,Prof,90000
EAST,ENGINEERING,India,Instr,75000
EDUC,TEACHER ED,Juliett,Asso,100000
EDUC,TEACHER ED,Kilo,Prof,95000
EDUC,TEACHER ED,Lima,Asso,90000
EDUC,TEACHER ED,Mike,Asst,80000
EDUC,TEACHER ED,November,Instr,70000
EDUC,HP&HP,Oscar,Prof,100000
EDUC,HP&HP,Papa,Asso,90000
EDUC,HP&HP,Quebec,Asst,80000
EDUC,HP&HP,Romeo,Instr,70000
HP,NURSING,Sierra,Prof,100000
HP,NURSING,Tango,Asso,90000
HP,NURSING,Uniform,Asst,80000
HP,NURSING,Victor,Instr,70000
